timestamp,counts
2023-01-01T00:00:00+01:00,1270
2023-01-02T00:00:00+01:00,2355
2023-01-03T00:00:00+01:00,2628
2023-01-04T00:00:00+01:00,2319
2023-01-05T00:00:00+01:00,2563
2023-01-06T00:00:00+01:00,1469
2023-01-07T00:00:00+01:00,2571
2023-01-08T00:00:00+01:00,1313
2023-01-09T00:00:00+01:00,4087
2023-01-10T00:00:00+01:00,4294
2023-01-11T00:00:00+01:00,4159
2023-01-12T00:00:00+01:00,4229
2023-01-13T00:00:00+01:00,3788
2023-01-14T00:00:00+01:00,2498
2023-01-15T00:00:00+01:00,1432
2023-01-16T00:00:00+01:00,3955
2023-01-17T00:00:00+01:00,4203
2023-01-18T00:00:00+01:00,3287
2023-01-19T00:00:00+01:00,3590
2023-01-20T00:00:00+01:00,3376
2023-01-21T00:00:00+01:00,1559
2023-01-22T00:00:00+01:00,1000
2023-01-23T00:00:00+01:00,3196
2023-01-24T00:00:00+01:00,3721
2023-01-25T00:00:00+01:00,3876
2023-01-26T00:00:00+01:00,3629
2023-01-27T00:00:00+01:00,3061
2023-01-28T00:00:00+01:00,1937
2023-01-29T00:00:00+01:00,1527
2023-01-30T00:00:00+01:00,3550
2023-01-31T00:00:00+01:00,3819
2023-02-01T00:00:00+01:00,3749
2023-02-02T00:00:00+01:00,3596
2023-02-03T00:00:00+01:00,3633
2023-02-04T00:00:00+01:00,2213
2023-02-05T00:00:00+01:00,1236
2023-02-06T00:00:00+01:00,3686
2023-02-07T00:00:00+01:00,3938
2023-02-08T00:00:00+01:00,3862
2023-02-09T00:00:00+01:00,3791
2023-02-10T00:00:00+01:00,3682
2023-02-11T00:00:00+01:00,2203
2023-02-12T00:00:00+01:00,1917
2023-02-13T00:00:00+01:00,3915
2023-02-14T00:00:00+01:00,4464
2023-02-15T00:00:00+01:00,4309
2023-02-16T00:00:00+01:00,4337
2023-02-17T00:00:00+01:00,3747
2023-02-18T00:00:00+01:00,2296
2023-02-19T00:00:00+01:00,1329
2023-02-20T00:00:00+01:00,3283
2023-02-21T00:00:00+01:00,3571
2023-02-22T00:00:00+01:00,3436
2023-02-23T00:00:00+01:00,3121
2023-02-24T00:00:00+01:00,2708
2023-02-25T00:00:00+01:00,2059
2023-02-26T00:00:00+01:00,1088
2023-02-27T00:00:00+01:00,3539
2023-02-28T00:00:00+01:00,3715
2023-03-01T00:00:00+01:00,4065
2023-03-02T00:00:00+01:00,3971
2023-03-03T00:00:00+01:00,4185
2023-03-04T00:00:00+01:00,2097
2023-03-05T00:00:00+01:00,1456
2023-03-06T00:00:00+01:00,4055
2023-03-07T00:00:00+01:00,4132
2023-03-08T00:00:00+01:00,3885
2023-03-09T00:00:00+01:00,4023
2023-03-10T00:00:00+01:00,3349
2023-03-11T00:00:00+01:00,2439
2023-03-12T00:00:00+01:00,1601
2023-03-13T00:00:00+01:00,4481
2023-03-14T00:00:00+01:00,3901
2023-03-15T00:00:00+01:00,4048
2023-03-16T00:00:00+01:00,4419
2023-03-17T00:00:00+01:00,4713
2023-03-18T00:00:00+01:00,3637
2023-03-19T00:00:00+01:00,1937
2023-03-20T00:00:00+01:00,4593
2023-03-21T00:00:00+01:00,4869
2023-03-22T00:00:00+01:00,5280
2023-03-23T00:00:00+01:00,4622
2023-03-24T00:00:00+01:00,3703
2023-03-25T00:00:00+01:00,2570
2023-03-26T00:00:00+01:00,1546
2023-03-27T00:00:00+02:00,3972
2023-03-28T00:00:00+02:00,4260
2023-03-29T00:00:00+02:00,4504
2023-03-30T00:00:00+02:00,3922
2023-03-31T00:00:00+02:00,3145
2023-04-01T00:00:00+02:00,2044
2023-04-02T00:00:00+02:00,1692
2023-04-03T00:00:00+02:00,3164
2023-04-04T00:00:00+02:00,3515
2023-04-05T00:00:00+02:00,3715
2023-04-06T00:00:00+02:00,3601
2023-04-07T00:00:00+02:00,1298
2023-04-08T00:00:00+02:00,2087
2023-04-09T00:00:00+02:00,1381
2023-04-10T00:00:00+02:00,2465
2023-04-11T00:00:00+02:00,2721
2023-04-12T00:00:00+02:00,2464
2023-04-13T00:00:00+02:00,2687
2023-04-14T00:00:00+02:00,3619
2023-04-15T00:00:00+02:00,2635
2023-04-16T00:00:00+02:00,1171
2023-04-17T00:00:00+02:00,4231
2023-04-18T00:00:00+02:00,4948
2023-04-19T00:00:00+02:00,4719
2023-04-20T00:00:00+02:00,4295
2023-04-21T00:00:00+02:00,5196
2023-04-22T00:00:00+02:00,4611
2023-04-23T00:00:00+02:00,3217
2023-04-24T00:00:00+02:00,4582
2023-04-25T00:00:00+02:00,4115
2023-04-26T00:00:00+02:00,5150
2023-04-27T00:00:00+02:00,5501
2023-04-28T00:00:00+02:00,3782
2023-04-29T00:00:00+02:00,4517
2023-04-30T00:00:00+02:00,3323
2023-05-01T00:00:00+02:00,2169
2023-05-02T00:00:00+02:00,5256
2023-05-03T00:00:00+02:00,6284
2023-05-04T00:00:00+02:00,6805
2023-05-05T00:00:00+02:00,5012
2023-05-06T00:00:00+02:00,4777
2023-05-07T00:00:00+02:00,3040
2023-05-08T00:00:00+02:00,4703
2023-05-09T00:00:00+02:00,5069
2023-05-10T00:00:00+02:00,4944
2023-05-11T00:00:00+02:00,4818
2023-05-12T00:00:00+02:00,5010
2023-05-13T00:00:00+02:00,3274
2023-05-14T00:00:00+02:00,2932
2023-05-15T00:00:00+02:00,5006
2023-05-16T00:00:00+02:00,5113
2023-05-17T00:00:00+02:00,5732
2023-05-18T00:00:00+02:00,4045
2023-05-19T00:00:00+02:00,4712
2023-05-20T00:00:00+02:00,4149
2023-05-21T00:00:00+02:00,4205
2023-05-22T00:00:00+02:00,5363
2023-05-23T00:00:00+02:00,5870
2023-05-24T00:00:00+02:00,5920
2023-05-25T00:00:00+02:00,6417
2023-05-26T00:00:00+02:00,6988
2023-05-27T00:00:00+02:00,5632
2023-05-28T00:00:00+02:00,4459
2023-05-29T00:00:00+02:00,4303
2023-05-30T00:00:00+02:00,4508
